	Line1	Line2	Center	Line3	Line4
30.85	-0.815557391	-1.179240726	-1.446189987	-1.187211448	-1.881622834
30.9	-0.722153822	-1.210146411	-1.386318111	-1.207173452	-1.676044627
30.95	-0.628766253	-1.241068105	-1.326461243	-1.227151446	-1.47045239
31	-0.529107685	-1.261307811	-1.238712381	-1.061262428	-1.433957124
31.05	-0.429448117	-1.281547527	-1.150947526	-0.895372401	-1.397447829
31.1	-0.43003955	-1.130416254	-1.030314678	-0.805410362	-1.284017503
31.15	-0.430644984	-0.979283992	-0.909697837	-0.715448314	-1.170573148
31.2	-0.270805418	-0.918377741	-0.988681003	-0.704222254	-1.097853764
31.25	-0.110965853	-0.8574565	-1.067664176	-0.692995185	-1.025118349
31.3	-0.228393288	-0.88412027	-0.995082356	-0.891776104	-1.062689906
31.35	-0.345820724	-0.910784051	-0.922484542	-1.090571013	-1.100276432
31.4	-0.318412161	-0.960976842	-0.945238735	-1.181913912	-1.208556929
31.45	-0.291003598	-1.011169644	-0.968008936	-1.2732568	-1.316836396
31.5	-0.307692035	-1.014289457	-1.159449143	-1.201819678	-1.308799833
31.55	-0.324381473	-1.017424281	-1.350889357	-1.130381545	-1.300777241
31.6	-0.426595912	-1.144979115	-1.292315578	-1.096587401	-1.46835262
31.65	-0.528795352	-1.27253496	-1.233755805	-1.062793247	-1.635928968
31.7	-0.685269791	-1.159122816	-1.17617304	-0.840613083	-1.600425287
31.75	-0.841760232	-1.045695682	-1.118605282	-0.618433908	-1.564906576
31.8	-0.841664673	-0.987841559	-1.14317553	-0.683546722	-1.344069836
31.85	-0.841584115	-0.929971447	-1.167730785	-0.748660526	-1.123233066
31.9	-0.730282557	-0.979814346	-1.191691047	-0.88848032	-1.202781266
31.95	-0.618995999	-1.029640255	-1.215635316	-1.028285103	-1.282328437
32	-0.571308443	-1.066284175	-1.104464592	-0.981260875	-1.266890578
32.05	-0.523605887	-1.102912106	-0.993307875	-0.934222637	-1.25146669
32.1	-0.474544331	-1.174406047	-1.066477165	-0.979575388	-1.336705772
32.15	-0.425498776	-1.245901	-1.139647461	-1.024928129	-1.421944824
32.2	-0.426517222	-1.190884963	-1.165697765	-0.972486859	-1.416653846
32.25	-0.427535668	-1.135852936	-1.191748075	-0.920046579	-1.411377839
32.3	-0.483012115	-1.166255921	-1.087595392	-0.984976289	-1.400226802
32.35	-0.538504562	-1.196642916	-0.983458716	-1.049905987	-1.389076736
32.4	-0.58858001	-1.143045922	-1.028872047	-0.991682676	-1.30305064
32.45	-0.638670459	-1.089432938	-1.074286385	-0.933473353	-1.217024514
32.5	-0.437295908	-1.003563965	-1.06893473	-0.85175102	-1.148363359
32.55	-0.235937357	-0.917679003	-1.063583081	-0.770044677	-1.079717174
32.6	-0.223085808	-0.934044052	-0.95360144	-0.900129323	-1.14420496
32.65	-0.210248258	-0.950408112	-0.843619805	-1.030213959	-1.208675715
32.7	-0.35280771	-1.061301182	-0.984126178	-1.026723584	-1.272323441
32.75	-0.495366162	-1.172193263	-1.124633557	-1.023232199	-1.335956138
32.8	-0.487839614	-1.142095354	-1.290850943	-1.082317803	-1.207403805
32.85	-0.480313067	-1.111996457	-1.457069336	-1.141403396	-1.078836442
32.9	-0.640816521	-1.25691657	-1.325298735	-1.083621979	-1.12925405
32.95	-0.801319975	-1.401836693	-1.193543142	-1.025840552	-1.179672627
33	-0.74499543	-1.250781828	-1.041736555	-0.840145114	-1.181720176
33.05	-0.688655885	-1.099725973	-0.889946976	-0.654433665	-1.183767694
33.1	-0.745811341	-0.921053129	-0.952374403	-0.732959206	-1.300714183
33.15	-0.802966798	-0.742364296	-1.014816837	-0.811468737	-1.417660643
33.2	-0.624343255	-0.764451473	-0.999013278	-0.934718257	-1.478134072
33.25	-0.445704712	-0.786537661	-0.983208726	-1.057966766	-1.538591472
33.3	-0.522101171	-0.81660486	-1.030561181	-1.157152265	-1.528325843
33.35	-0.598482629	-0.846657069	-1.077912643	-1.256337753	-1.518059184
33.4	-0.610243089	-1.01478529	-1.275518111	-1.133065231	-1.505168495
33.45	-0.622003549	-1.182898521	-1.473138587	-1.009808698	-1.492261776
33.5	-0.412909009	-1.183821762	-1.437910069	-1.045197155	-1.355729028
33.55	-0.20382847	-1.184744015	-1.402666558	-1.080585601	-1.21921125
33.6	-0.289899932	-1.267591278	-1.244666054	-0.968941037	-1.242758443
33.65	-0.375985394	-1.350423552	-1.086680557	-0.857295462	-1.266320606
33.7	-0.575215857	-1.305416836	-1.165847067	-0.839186877	-1.227428739
33.75	-0.77443032	-1.260411132	-1.245013584	-0.821093281	-1.188551843
33.8	-0.545315784	-1.102566438	-1.169685107	-0.964666675	-1.165986917
33.85	-0.316201249	-0.944705754	-1.094371638	-1.108240058	-1.143435961
33.9	-0.308414714	-0.937053082	-1.066147175	-1.230908431	-1.157278976
33.95	-0.30062918	-0.92940142	-1.037937719	-1.353577793	-1.171105961
34	-0.252132646	-0.833170769	-1.11887427	-1.295475145	-1.343104917
34.05	-0.203636113	-0.736926129	-1.199795828	-1.237388486	-1.515088842
34.1	-0.13853858	-0.714289499	-1.225801393	-1.156474816	-1.410522739
